Unnamed: 0,product_name,category,categoryRank,noRatings,cost,product_url
36,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",Amazon Devices & Accessories,#37,"84,532",$149.99,https://www.amazon.com/Fire-HD-10-tablet/dp/B08BX7FV5L/ref=cm_cr_arp_d_product_top?ie=UTF8
37,Ring Charging Station with 2-pack Quick Release Battery Packs,Amazon Devices & Accessories,#38,"98,318",$89.99,https://www.amazon.com/Ring-Charging-Station-Release-Battery/dp/B08HRX74PF/ref=cm_cr_arp_d_product_top?ie=UTF8
38,"Fire HD 8 tablet, 8"" HD display, 32 GB, latest model (2020 release), designed for portable entertainment, Black",Amazon Devices & Accessories,#39,"156,697",$89.99,https://www.amazon.com/Fire-HD-8-tablet/dp/B07TMJ1R3X/ref=cm_cr_arp_d_product_top?ie=UTF8
39,"All-new Ring Video Doorbell 3 – 1080p HD video, improved motion detection, and easy installation",Amazon Devices & Accessories,#40,"38,145",$199.99 - $239.98,https://www.amazon.com/Ring-Doorbell-improved-detection-installation/dp/B085884FTD/ref=cm_cr_arp_d_product_top?ie=UTF8
40,"Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Deep Sea Blue",Amazon Devices & Accessories,#41,"88,378",$39.99,https://www.amazon.com/Echo-Show-5-2nd-Gen-2021-release/dp/B08KJN3333/ref=cm_cr_arp_d_product_top?ie=UTF8
41,"Insignia 32-inch Class F20 Series Smart HD 720p Fire TV (NS-32DF310NA19, 2018 Model)",Amazon Devices & Accessories,#42,"79,842",$99.99,https://www.amazon.com/Insignia-NS-32DF310NA19-32-inch-720p-Smart/dp/B07FPP6TB5/ref=cm_cr_arp_d_product_top?ie=UTF8
42,All-new Ring Alarm Contact Sensor,Amazon Devices & Accessories,#43,"20,711",$19.99 - $99.99,https://www.amazon.com/All-new-Ring-Alarm-Contact-Sensor/dp/B0866TMCMQ/ref=cm_cr_arp_d_product_top?ie=UTF8
43,"NuPro Anti-Glare Screen Protector with Antimicrobial Technology for Amazon Fire HD 10 and Fire HD 10 Plus tablet (11th generation, 2021 release), 2-pack",Amazon Devices & Accessories,#44,"12,051",$17.99,https://www.amazon.com/Anti-Glare-Protector-Antimicrobial-Technology-generation/dp/B08X6KB2YX/ref=cm_cr_arp_d_product_top?ie=UTF8
44,"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - Black",Amazon Devices & Accessories,#45,"76,777",$59.99,https://www.amazon.com/Ring-Indoor-Compact-security-two-way/dp/B07Q769B5X/ref=cm_cr_arp_d_product_top?ie=UTF8
45,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera kit",Amazon Devices & Accessories,#46,"133,455",$179.99,https://www.amazon.com/Blink-Outdoor-Wireless-Security-Camera-2cam/dp/B086DL32R3/ref=cm_cr_arp_d_product_top?ie=UTF8
46,Blink USB flash drive for local video storage with the Blink Sync Module 2,Amazon Devices & Accessories,#47,"14,374",$14.99,https://www.amazon.com/Blink-USB-Flash-Drive/dp/B084SD48DM/ref=cm_cr_arp_d_product_top?ie=UTF8
47,"Insignia 24-inch Class F20 Series Smart HD 720p Fire TV (NS-24DF310NA21, 2020 Model)",Amazon Devices & Accessories,#48,"79,842",$99.99,https://www.amazon.com/All-New-Insignia-NS-24DF310NA21-24-inch-Smart/dp/B0874YZVWK/ref=cm_cr_arp_d_product_top?ie=UTF8
48,No-Drill Mount for Ring Video Doorbell,Amazon Devices & Accessories,#49,"3,852",$17.99 - $19.99,https://www.amazon.com/No-Drill-Mount-Ring-Video-Doorbell/dp/B08DLTB25K/ref=cm_cr_arp_d_product_top?ie=UTF8
49,"Ring Video Doorbell Pro – Upgraded, with added security features and a sleek design (existing doorbell wiring required)",Amazon Devices & Accessories,#50,"41,619",$169.99,https://www.amazon.com/Ring-Video-Doorbell-Pro/dp/B08M125RNW/ref=cm_cr_arp_d_product_top?ie=UTF8
50,"Old Town Takayama, Japan, experience a preserved city of the Edo period",Amazon Explore,#1,16,$19.00 - $55.30,https://www.amazon.com/Takayama-Japan-experience-preserved-period/dp/B09CT3H7TJ/ref=cm_cr_arp_d_product_top?ie=UTF8
51,A ghostly walk through the haunted streets of Prague.,Amazon Explore,#2,93,$12.50 - $49.00,https://www.amazon.com/ghostly-through-haunted-streets-Prague/dp/B09CTCK2T8/ref=cm_cr_arp_d_product_top?ie=UTF8
52,Prague Castle: Discover the regal beauty of the World's Largest Castle Complex,Amazon Explore,#3,55,$12.50 - $49.00,https://www.amazon.com/Prague-Castle-Discover-Largest-Complex/dp/B09CSYJ1C2/ref=cm_cr_arp_d_product_top?ie=UTF8
53,Get up-close with wild animals in Costa Rica at the Toucan Rescue Ranch,Amazon Explore,#4,399,$7.50 - $27.30,https://www.amazon.com/up-close-animals-Costa-Toucan-Rescue/dp/B0964CSQ5R/ref=cm_cr_arp_d_product_top?ie=UTF8
54,"Paris, Je t'aime: a sightseeing experience of the City of Lights",Amazon Explore,#5,62,$59.50,https://www.amazon.com/Paris-Je-taime-sightseeing-experience/dp/B09CTBTXXH/ref=cm_cr_arp_d_product_top?ie=UTF8
55,Enchanting Rialto: a stroll through the markets of Venice,Amazon Explore,#6,88,$39.90 - $159.00,https://www.amazon.com/Enchanting-Rialto-stroll-through-markets/dp/B0949TH9WH/ref=cm_cr_arp_d_product_top?ie=UTF8
56,Meet Exotic Mammals and Birds!,Amazon Explore,#7,24,$10.00 - $40.00,https://www.amazon.com/Meet-Exotic-Mammals-and-Birds/dp/B09LB7C5G4/ref=cm_cr_arp_d_product_top?ie=UTF8
57,Mysterious Buenos Aires: the surprising and terrifying stories,Amazon Explore,#8,10,$6.00 - $24.50,https://www.amazon.com/Mysterious-Buenos-Aires-surprising-terrifying/dp/B09CSSH1KR/ref=cm_cr_arp_d_product_top?ie=UTF8
59,Tour the Eiffel Tower: Paris' most iconic monument,Amazon Explore,#10,14,$20.00 - $59.50,https://www.amazon.com/Tour-Eiffel-Tower-iconic-monument/dp/B09F5PXMG7/ref=cm_cr_arp_d_product_top?ie=UTF8
60,Tarot Card Reading for Love,Amazon Explore,#11,14,$34.30,https://www.amazon.com/Tarot-Card-Reading-for-Love/dp/B09CSVFYFZ/ref=cm_cr_arp_d_product_top?ie=UTF8
61,Picturesque Prague: Visit the Old Town of the Czech Republic's capital,Amazon Explore,#12,101,$12.50 - $49.00,https://www.amazon.com/Picturesque-Prague-Visit-Republics-capital/dp/B09CT38YVZ/ref=cm_cr_arp_d_product_top?ie=UTF8
62,"Old Town Jerusalem: Visit the Wailing Wall, the Armenian Quarter, and more",Amazon Explore,#13,166,$28.00 - $83.30,https://www.amazon.com/Old-Town-Jerusalem-Wailing-Armenian/dp/B09CT5Q17L/ref=cm_cr_arp_d_product_top?ie=UTF8
63,Design Luxury Jewelry LIVE with an artist in Paris! (jewelry included),Amazon Explore,#14,13,$245.00,https://www.amazon.com/Design-Luxury-Jewelry-jewelry-included/dp/B09CTDRPN2/ref=cm_cr_arp_d_product_top?ie=UTF8
64,Discover the most famous sights of Prague,Amazon Explore,#15,14,$49.50,https://www.amazon.com/Discover-most-famous-sights-Prague/dp/B09CT8WH23/ref=cm_cr_arp_d_product_top?ie=UTF8
65,"Learn to read tarot cards: intuition, confidence & personalized instruction",Amazon Explore,#16,22,$15.00 - $45.00,https://www.amazon.com/Learn-read-tarot-cards-personalized/dp/B09CSZ22M7/ref=cm_cr_arp_d_product_top?ie=UTF8
66,Meet maras and other fascinating Argentinian animals in Buenos Aires' Ecoparque,Amazon Explore,#17,30,$5.00 - $20.30,https://www.amazon.com/fascinating-Argentinian-animals-Buenos-Ecoparque/dp/B09CT3B2D7/ref=cm_cr_arp_d_product_top?ie=UTF8
67,Visit the Alsace region's historic medieval city of Strasbourg,Amazon Explore,#18,15,$20.00 - $59.50,https://www.amazon.com/Alsace-regions-historic-medieval-Strasbourg/dp/B09CTB3LG4/ref=cm_cr_arp_d_product_top?ie=UTF8
68,Discover the ruins of the magical Mayan archaeological site in Tulum,Amazon Explore,#19,2,$48.30,https://www.amazon.com/Discover-ruins-magical-Mayan-archaeological/dp/B09RP9Q2N2/ref=cm_cr_arp_d_product_top?ie=UTF8
69,Explore L'Ile de la Cite: the Heart and Soul of Paris,Amazon Explore,#20,2,$20.00 - $59.50,https://www.amazon.com/Explore-LIle-Cite-Heart-Paris/dp/B09ZCCTPXL/ref=cm_cr_arp_d_product_top?ie=UTF8
70,Italy's most powerful dynasty:meet the Medici family and their incredible lives.,Amazon Explore,#21,3,$22.00 - $69.30,https://www.amazon.com/Italys-most-powerful-dynasty-incredible/dp/B09F3X7P69/ref=cm_cr_arp_d_product_top?ie=UTF8
71,"Legends, myths and alchemy in Haunted Prague",Amazon Explore,#22,65,$12.50 - $49.00,https://www.amazon.com/Legends-myths-alchemy-Haunted-Prague/dp/B09CTF2ZXP/ref=cm_cr_arp_d_product_top?ie=UTF8
72,Shop iconic Murano glass jewelry and home decor straight from Venice,Amazon Explore,#23,7,$10.00,https://www.amazon.com/iconic-Murano-jewelry-straight-Venice/dp/B09CTBZDYV/ref=cm_cr_arp_d_product_top?ie=UTF8
73,"Iquitos, Peru: a hidden city in the Amazon jungle",Amazon Explore,#24,7,$14.00 - $28.00,https://www.amazon.com/Iquitos-Peru-hidden-Amazon-jungle/dp/B09CT81LQG/ref=cm_cr_arp_d_product_top?ie=UTF8
74,Haunted History of Chicago: A Virtual Walking Tour,Amazon Explore,#25,26,$12.25 - $49.00,https://www.amazon.com/Haunted-History-Chicago-Virtual-Walking/dp/B0964PRPGG/ref=cm_cr_arp_d_product_top?ie=UTF8
